kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,garis_kemiskinan,garis_kemiskinan_was_imputed,persentase_penduduk_miskin,persentase_penduduk_miskin_was_imputed,indeks_keparahan_kemiskinan,indeks_keparahan_kemiskinan_was_imputed,indeks_pembangunan_manusia,indeks_pembangunan_manusia_was_imputed,tingkat_pengangguran_terbuka,tingkat_pengangguran_terbuka_was_imputed,garis_kemiskinan_yoy_change,garis_kemiskinan_yoy_pct_change,persentase_penduduk_miskin_yoy_change,persentase_penduduk_miskin_yoy_pct_change,indeks_keparahan_kemiskinan_yoy_change,indeks_keparahan_kemiskinan_yoy_pct_change,indeks_pembangunan_manusia_yoy_change,indeks_pembangunan_manusia_yoy_pct_change,tingkat_pengangguran_terbuka_yoy_change,tingkat_pengangguran_terbuka_yoy_pct_change,persentase_miskin_rolling_3y,arah_tren_kemiskinan,persentase_penduduk_miskin_risk_z,indeks_keparahan_kemiskinan_risk_z,indeks_pembangunan_manusia_risk_z,tingkat_pengangguran_terbuka_risk_z,jumlah_komponen_skor_kerentanan,skor_kerentanan_sosial,peringkat_prioritas_intervensi,prioritas_intervensi,jumlah_indikator_diimputasi,jumlah_indikator_tersedia
32,JAWA BARAT,3278,KOTA TASIKMALAYA,2010,263177.0,False,20.71,False,1.17,False,66.58,False,8.16,False,,,,,,,,,,,20.71,belum_ada_pembanding,2.352868910697587,3.5047578180341006,-0.05796481277545533,-0.7231177470666741,4,1.2691,1,sangat_tinggi,0,5
32,JAWA BARAT,3215,KABUPATEN KARAWANG,2010,266597.0,False,12.21,False,0.78,False,64.58,False,14.88,False,,,,,,,,,,,12.21,belum_ada_pembanding,0.21169522626618215,1.5951262073481371,0.32405930184096854,1.4926509791257025,4,0.9059,2,sangat_tinggi,0,5
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2010,216388.0,False,14.68,False,0.58,False,61.34,False,13.31,False,,,,,,,,,,,14.68,belum_ada_pembanding,0.8338951086833079,0.6158279454578991,0.9429383675195743,0.9749788213694478,4,0.8419,3,sangat_tinggi,0,5
32,JAWA BARAT,3209,KABUPATEN CIREBON,2010,230346.0,False,16.12,False,0.58,False,63.64,False,12.97,False,,,,,,,,,,,16.12,belum_ada_pembanding,1.1966351211046284,0.6158279454578991,0.5036106357106873,0.8628714751037622,4,0.7947,4,sangat_tinggi,0,5
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2010,264576.0,False,16.58,False,0.52,False,60.86,False,11.29,False,,,,,,,,,,,16.58,belum_ada_pembanding,1.3125104028503274,0.32203846689082805,1.0346241550275168,0.30892929355566756,4,0.7445,5,sangat_tinggi,0,5
32,JAWA BARAT,3203,KABUPATEN CIANJUR,2010,202438.0,False,14.32,False,0.38,False,58.58,False,11.21,False,,,,,,,,,,,14.32,belum_ada_pembanding,0.7432101055779778,-0.3634703164323384,1.4701316456902402,0.2825510944343303,4,0.5331,6,tinggi,0,5
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2010,263377.0,False,15.51,False,0.67,False,62.3,False,5.82,False,,,,,,,,,,,15.51,belum_ada_pembanding,1.0429744213983745,1.0565121633085064,0.759566792503692,-1.494680071365805,4,0.3411,7,tinggi,0,5
32,JAWA BARAT,3272,KOTA SUKABUMI,2010,284339.0,False,9.24,False,0.52,False,67.94,False,15.65,False,,,,,,,,,,,9.24,belum_ada_pembanding,-0.5364560493527913,0.32203846689082805,-0.31774121071462347,1.7465411456685789,4,0.3036,8,tinggi,0,5
32,JAWA BARAT,3271,KOTA BOGOR,2010,278530.0,False,9.47,False,0.48,False,71.25,False,17.2,False,,,,,,,,,,,9.47,belum_ada_pembanding,-0.4785184084799414,0.12617881451278035,-0.9499911204048054,2.2576187536444987,4,0.2388,9,tinggi,0,5
32,JAWA BARAT,3213,KABUPATEN SUBANG,2010,234803.0,False,13.54,False,0.52,False,63.54,False,8.72,False,,,,,,,,,,,13.54,belum_ada_pembanding,0.5467259321830957,0.32203846689082805,0.5227118414415088,-0.5384703532173092,4,0.2133,10,tinggi,0,5
