id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_keparahan_kemiskinan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.62,POIN,2004
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.68,POIN,2004
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.52,POIN,2004
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.47,POIN,2004
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.58,POIN,2004
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.58,POIN,2004
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.8,POIN,2004
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.81,POIN,2004
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.63,POIN,2004
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.87,POIN,2004
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.33,POIN,2004
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.37,POIN,2004
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.39,POIN,2004
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.49,POIN,2004
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.28,POIN,2004
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.41,POIN,2004
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,POIN,2004
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2004
19,32,JAWA BARAT,3271,KOTA BOGOR,0.2,POIN,2004
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.56,POIN,2004
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.08,POIN,2004
22,32,JAWA BARAT,3274,KOTA CIREBON,0.24,POIN,2004
23,32,JAWA BARAT,3275,KOTA BEKASI,0.15,POIN,2004
24,32,JAWA BARAT,3276,KOTA DEPOK,0.24,POIN,2004
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.38,POIN,2004
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.36,POIN,2004
27,32,JAWA BARAT,3279,KOTA BANJAR,0.56,POIN,2004
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.86,POIN,2005
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1.27,POIN,2005
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.73,POIN,2005
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.73,POIN,2005
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0.99,POIN,2005
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1.03,POIN,2005
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.68,POIN,2005
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.71,POIN,2005
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1.39,POIN,2005
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.87,POIN,2005
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.53,POIN,2005
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.84,POIN,2005
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.82,POIN,2005
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.49,POIN,2005
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.96,POIN,2005
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.49,POIN,2005
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,POIN,2005
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2005
46,32,JAWA BARAT,3271,KOTA BOGOR,0.35,POIN,2005
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0.26,POIN,2005
48,32,JAWA BARAT,3273,KOTA BANDUNG,0.15,POIN,2005
49,32,JAWA BARAT,3274,KOTA CIREBON,0.63,POIN,2005
